Feature,Importance
poutcome,0.3057984113693237
duration,0.1328634172677994
contact,0.1104097068309784
housing,0.1024778857827187
month,0.06264083832502365
loan,0.04987584799528122
pdays,0.03050026670098305
day_of_week,0.02810149639844894
marital,0.02611036598682404
education,0.02360335364937782
age,0.02346697449684143
campaign,0.02310480736196041
previous,0.02187641523778439
default,0.02050555683672428
balance,0.01933996379375458
job,0.01932476460933685
