Feature,Importance
MedInc,0.5051842331886292
AveOccup,0.1394601613283157
Longitude,0.1069095358252525
Latitude,0.09321314096450806
HouseAge,0.06314466148614883
AveRooms,0.04422849044203758
AveBedrms,0.02447134256362915
Population,0.02338847517967224
