Sample Fraction,Accuracy,F1-score,AUC,time,cpu_occupied(%),Memory_Used (MB)
0.1,0.740840909090909,0.7571773544405688,0.82220089264628,11.512945890426636,553.4,2300.9765625
0.5,0.7407954545454546,0.757710561312718,0.8225754008143588,55.09650659561157,545.9,2701.87890625
1.0,0.7410568181818182,0.7583455466733408,0.8227577969975629,133.57354283332825,459.6,1966.98828125
