Feature,Importance
fnlwgt,0.2611456098600776
age,0.1840925259708221
hours-per-week,0.1042132530118015
occupation,0.09131541561499316
education-num,0.05480434058421973
relationship,0.05432950436433034
capital-gain,0.05108885589470751
workclass,0.04885114072001553
education,0.03586715316766594
marital-status,0.03257725469963325
